INFO  2012-04-30 17:20:14,583 [idb_RequestHandler_6fe20003_deleteDomain] - rename_thread idb_RequestHandler_6fe20002_addDomain
DEBUG 2012-04-30 17:20:14,585 [idb_RequestHandler_6fe20003_deleteDomain] - select vIEW_DomainReservationMapping from VIEW_DomainReservationMapping vIEW_DomainReservationMapping where vIEW_DomainReservationMapping.domainName = :a1
INFO  2012-04-30 17:20:14,754 [idb_RequestHandler_6fe20004_deleteDomain] - rename_thread idb_RequestHandler_6fe20001_deleteDomain
INFO  2012-04-30 17:20:14,820 [idb_RequestHandler_6fe20004_deleteDomain] - Using default SimpleSoapClient
INFO  2012-04-30 17:20:14,825 [idb_RequestHandler_6fe20005_addDomain] - rename_thread pool-2-thread-1
WARN  2012-04-30 17:20:14,855 [idb_RequestHandler_6fe20005_addDomain] - advertised endpoint 114.228.1.101 is not declared as border endpoint
DEBUG 2012-04-30 17:20:14,938 [idb_RequestHandler_6fe20005_addDomain] - select interDomainLink from InterDomainLink interDomainLink
DEBUG 2012-04-30 17:20:14,946 [idb_RequestHandler_6fe20005_addDomain] - updating [src=114.228.1.101 dst=InterdomainLinkDest] in interdomain link table
INFO  2012-04-30 17:20:15,213 [idb_RequestHandler_6fe20006_addEndpoint] - rename_thread idb_RequestHandler_6fe20005_addDomain
INFO  2012-04-30 17:20:15,292 [idb_RequestHandler_6fe20007_deleteEndpoint] - rename_thread idb_RequestHandler_6fe20006_addEndpoint
INFO  2012-04-30 17:20:15,354 [idb_RequestHandler_6fe20008_deleteDomain] - rename_thread idb_RequestHandler_6fe20004_deleteDomain
DEBUG 2012-04-30 17:20:15,365 [idb_RequestHandler_6fe20008_deleteDomain] - select vIEW_DomainReservationMapping from VIEW_DomainReservationMapping vIEW_DomainReservationMapping where vIEW_DomainReservationMapping.domainName = :a1
INFO  2012-04-30 17:20:15,514 [idb_RequestHandler_6fe20009_deleteEndpoint] - rename_thread idb_RequestHandler_6fe20008_deleteDomain
INFO  2012-04-30 17:20:15,531 [idb_RequestHandler_6fe2000a_deleteEndpoint] - rename_thread idb_RequestHandler_6fe20009_deleteEndpoint
INFO  2012-04-30 17:20:15,558 [idb_RequestHandler_6fe2000a_deleteEndpoint] - Using default SimpleSoapClient
INFO  2012-04-30 17:20:15,562 [idb_RequestHandler_6fe2000b_addDomain] - rename_thread pool-3-thread-1
WARN  2012-04-30 17:20:15,596 [idb_RequestHandler_6fe2000b_addDomain] - advertised endpoint 117.198.1.101 is not declared as border endpoint
DEBUG 2012-04-30 17:20:15,641 [idb_RequestHandler_6fe2000b_addDomain] - select interDomainLink from InterDomainLink interDomainLink
DEBUG 2012-04-30 17:20:15,650 [idb_RequestHandler_6fe2000b_addDomain] - updating [src=117.198.1.101 dst=InterdomainLinkDest] in interdomain link table
INFO  2012-04-30 17:20:15,804 [idb_RequestHandler_6fe2000c_addDomain] - rename_thread idb_RequestHandler_6fe2000b_addDomain
INFO  2012-04-30 17:20:15,827 [idb_RequestHandler_6fe2000d_deleteDomain] - rename_thread idb_RequestHandler_6fe2000c_addDomain
DEBUG 2012-04-30 17:20:15,838 [idb_RequestHandler_6fe2000d_deleteDomain] - select vIEW_DomainReservationMapping from VIEW_DomainReservationMapping vIEW_DomainReservationMapping where vIEW_DomainReservationMapping.domainName = :a1
INFO  2012-04-30 17:20:15,984 [idb_RequestHandler_6fe2000e_deleteDomain] - rename_thread idb_RequestHandler_6fe2000a_deleteEndpoint
INFO  2012-04-30 17:20:16,011 [idb_RequestHandler_6fe2000e_deleteDomain] - Using default SimpleSoapClient
INFO  2012-04-30 17:20:16,018 [idb_RequestHandler_6fe2000f_addDomain] - rename_thread pool-4-thread-1
WARN  2012-04-30 17:20:16,047 [idb_RequestHandler_6fe2000f_addDomain] - advertised endpoint 119.140.1.101 is not declared as border endpoint
DEBUG 2012-04-30 17:20:16,095 [idb_RequestHandler_6fe2000f_addDomain] - select interDomainLink from InterDomainLink interDomainLink
DEBUG 2012-04-30 17:20:16,104 [idb_RequestHandler_6fe2000f_addDomain] - updating [src=119.140.1.101 dst=InterdomainLinkDest] in interdomain link table
INFO  2012-04-30 17:20:16,222 [idb_RequestHandler_6fe20010_addEndpoint] - rename_thread idb_RequestHandler_6fe2000f_addDomain
INFO  2012-04-30 17:20:16,299 [idb_RequestHandler_6fe20011_addEndpoint] - rename_thread idb_RequestHandler_6fe20010_addEndpoint
INFO  2012-04-30 17:20:16,317 [idb_RequestHandler_6fe20012_deleteDomain] - rename_thread idb_RequestHandler_6fe2000e_deleteDomain
DEBUG 2012-04-30 17:20:16,325 [idb_RequestHandler_6fe20012_deleteDomain] - select vIEW_DomainReservationMapping from VIEW_DomainReservationMapping vIEW_DomainReservationMapping where vIEW_DomainReservationMapping.domainName = :a1
INFO  2012-04-30 17:20:16,472 [idb_RequestHandler_6fe20013_deleteEndpoint] - rename_thread idb_RequestHandler_6fe20012_deleteDomain
INFO  2012-04-30 17:20:16,493 [idb_RequestHandler_6fe20014_deleteEndpoint] - rename_thread idb_RequestHandler_6fe20013_deleteEndpoint
INFO  2012-04-30 17:20:16,518 [idb_RequestHandler_6fe20014_deleteEndpoint] - Using default SimpleSoapClient
INFO  2012-04-30 17:20:16,528 [idb_RequestHandler_6fe20015_addDomain] - rename_thread pool-5-thread-1
WARN  2012-04-30 17:20:16,560 [idb_RequestHandler_6fe20015_addDomain] - advertised endpoint 121.134.1.101 is not declared as border endpoint
DEBUG 2012-04-30 17:20:16,591 [idb_RequestHandler_6fe20015_addDomain] - select interDomainLink from InterDomainLink interDomainLink
DEBUG 2012-04-30 17:20:16,598 [idb_RequestHandler_6fe20015_addDomain] - updating [src=121.134.1.101 dst=InterdomainLinkDest] in interdomain link table
INFO  2012-04-30 17:20:16,734 [idb_RequestHandler_6fe20016_getDomains] - rename_thread idb_RequestHandler_6fe20015_addDomain
DEBUG 2012-04-30 17:20:16,737 [idb_RequestHandler_6fe20016_getDomains] - select domain from Domain domain
DEBUG 2012-04-30 17:20:16,795 [idb_RequestHandler_6fe20016_getDomains] - select interDomainLink from InterDomainLink interDomainLink
DEBUG 2012-04-30 17:20:16,844 [idb_RequestHandler_6fe20016_getDomains] - select interDomainLink from InterDomainLink interDomainLink
DEBUG 2012-04-30 17:20:16,894 [idb_RequestHandler_6fe20016_getDomains] - select interDomainLink from InterDomainLink interDomainLink
DEBUG 2012-04-30 17:20:16,915 [idb_RequestHandler_6fe20016_getDomains] - cvc-complex-type.2.4.b: The content of element 'ns4:Technology' is not complete. One of '{"http://opennaas.org/nsp":DomainSupportedAdaptation, "http://opennaas.org/nsp":DomainSupportedBandwidth, "http://opennaas.org/nsp":DomainSupportedSwitchMatrix}' is expected.:
